doi,title,source,nnaa_track,pmid,journal,pub_date,abstract,nnaa_compound,ai_article_type,ai_pass,ai_rationale_zh,ai_nnaa_category,ai_synthesis_method,ai_has_pathway_or_synthesis,ai_compound,fetched_at,publication_types,ai_domain_relevant,ai_has_experiment,lit_type_zh
10.1021/acschembio.5c00455,"Enzymatic Construction of Rare Pyrazino[1,2-a]indole Framework: Side Chain Migration-Driven Pictet-Spengler Activity of McbB.",pubmed,hybrid,40944631,ACS chemical biology,2025-Oct-17,"Rational substrate exploration with enzymes can unlock innovative molecular architectures and reveal unprecedented biological activities. Inspired by our previous studies on strictosidine synthase, a plant-derived Pictet-Spenglerase, we designed (S)-2-amino-3-(1H-indol-1-yl)propionic acid (1) as a novel substrate for the microbial Pictet-Spenglerase McbB. Enzymatic condensation of 1 with oxaloacetaldehyde afforded the rare pyrazino[1,2-a]indole scaffold, overcoming both intrinsic β-carboline bias and the limitations of conventional chemical Pictet-Spengler reactions. Substrate profiling revealed that McbB exhibited strict specificity for 4-methyl- and 5-fluoro-substituted analogs of 1, yet tolerated methylglyoxal or formaldehyde as aldehyde partners with 1. Site-directed mutagenesis combined with computational docking delineated a new substrate binding mode and provided insights into the catalytic mechanism. Further chemoenzymatic derivatization of 1 yielded novel pyrazino[1,2-a]indoles with notable antiplasmodial (compound 12, IC50 = 1.5 ± 0.2 μM vs P.f. 3D7) and antitumor activities (compound 13, IC50 = 3.19 ± 0.3 μM vs HL60). This study expands our understanding of the enzymatic mechanism of McbB and enables the development of diverse bioactive compounds through substrate exploration.",,research_article,true,设计并合成了非天然底物(S)-2-氨基-3-(1H-吲哚-1-基)丙酸（色氨酸类似物），经McbB酶催化构建新型杂环骨架，属于NNAA的化学合成及其酶法转化。,hybrid,hybrid,yes,"(S)-2-amino-3-(1H-indol-1-yl)propionic acid, 4-methyl analog, 5-fluoro analog",2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1248/yakushi.25-00001,[Development of Selective Reactions in the Synthesis of Medicines].,pubmed,hybrid,40307020,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,2025,"This review summarizes the contributions to the discovery, evaluation, and functional development of microbial and enzyme catalysts, as well as the rational design of pathways that synergistically integrate chemical and biochemical reactions. In the introduction, the author outlines his strategies and principles: 1) He avoided biosynthetic enzymes and pathways, opting instead for degradative enzymes that offer broader substrate flexibility and a wider range of applications. 2) He focused on commercially available enzymes, prioritizing their reproducibility and accessibility for widespread use. All the microorganisms he identified have been deposited in public institutions, making them available to researchers in both academic and corporate settings. 3) He developed methods to enhance reactivity and selectivity by optimizing reaction conditions and substrate structures, without altering the enzymes themselves. The main body of the review is divided into two parts. Part 1, titled ""Chemo-enzymatic Synergistic Synthesis of Medicines,"" covers the following topics: 1) the synthesis of dihydroxymethylepoxyquinomicin (DHMEQ); 2) the synthesis of sialic acids; 3) the utilization of epoxide hydrolase; and 4) the synthesis of (S)-azetidine-2-carboxylic acid. Part 2, titled ""New Selective Reactions for Synthesis of Medicines,"" includes: 1) the optimization of reaction conditions in lipase-catalyzed transesterification and aminolysis; 2) the conversion of racemates into single enantiomers using hydrolytic enzymes through novel pathways; 3) the use of carbonyl reductases in conjunction with substrate design; 4) nitrile hydratase and amidase in Rhodococcus species; 5) selective acylation and deacylation of alcohols and phenols; and 6) the use of oligosaccharides as protective groups in the synthesis of polyphenol glycosides.",,review,true,综述明确包含“(S)-azetidine-2-carboxylic acid”（一种非天然环状氨基酸）的合成，并系统介绍化学-酶法协同合成药物策略，涵盖NNAA制备方法学。,hybrid,hybrid,yes,(S)-azetidine-2-carboxylic acid,2026-07-23 18:45:34,Journal Article; Review; English Abstract,true,,综述
10.1021/jacs.4c10835,A Kinetic Trapping Approach for Facile Access to 3FaxNeu5Ac and a Photo-Cross-Linkable Sialyltransferase Probe.,pubmed,hybrid,39377645,Journal of the American Chemical Society,2024-Oct-23,"Sialic acid (Neu5Ac) is installed onto glycoconjugates by sialyltransferases (STs) using cytidine monophosphate-Neu5Ac (CMP-β-d-Neu5Ac) as their donor. The only class of cell-active ST inhibitors are those based on a 3FaxNeu5Ac scaffold, which is metabolically converted into CMP-3FaxNeu5Ac within cells. It is essential for the fluorine to be axial, yet stereoselective installation of fluorine in this specific orientation is challenging. Sialic acid aldolase can convert 3-fluoropyruvate and 2-acetamido-2-deoxy-d-mannopyranose (ManNAc) to 3FNeu5Ac, but stereocontrol of the fluorine in the product has not been possible. We hypothesized that the 3Fax kinetic product of a sialic acid aldolase reaction could be trapped by coupling with CMP-sialic acid synthetase to yield CMP-3FaxNeu5Ac. Here, we report that highly active CMP-sialic acid synthetase and short reaction times produce exclusively CMP-3FaxNeu5Ac. Removal of CMP from CMP-3FaxNeu5Ac under acidic conditions unexpectedly led to 3-fluoro-β-d-Neu5Ac 2-phosphate (3FaxNeu5Ac-2P). Alkaline phosphatase successfully converted 3FaxNeu5Ac-2P to 3FaxNeu5Ac, enabling stereochemically controlled access to 3FaxNeu5Ac, which is effective in lowering the sialoglycan ligands for Siglecs on cells. Moreover, our kinetic trapping approach could be used to access CMP-3FaxNeu5Ac with modifications at the C5, C9, or both positions, which enabled the chemoenzymatic synthesis of a photo-cross-linkable version of CMP-3FaxNeu5Ac that selectively photo-cross-linked to ST6GAL1 over two other STs.",,research_article,true,通过醛缩酶与CMP-唾液酸合酶级联反应，实现3FaxNeu5Ac的立体选择性制备，属于酶法合成非天然唾液酸衍生物，符合NNAA合成范畴。,enzymatic,enzymatic,yes,"3FaxNeu5Ac, CMP-3FaxNeu5Ac",2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1021/acscatal.4c02816,Controllable Multihalogenation of a Non-native Substrate by the SyrB2 Iron Halogenase.,pubmed,hybrid,42016827,ACS catalysis,2024-Sep-06,"Geminal, multihalogenated functional groups are widespread in natural products and pharmaceuticals, yet no synthetic methodologies exist that enable selective multihalogenation of unactivated C-H bonds. Biocatalysts are powerful tools for late-stage C-H functionalization as they operate with high degrees of regio-, chemo-, and stereoselectivity. 2-Oxoglutarate (2OG)-dependent nonheme iron halogenases chlorinate and brominate aliphatic C-H bonds and offer a solution for achieving these challenging transformations. Here, we describe the ability of a nonheme iron halogenase, SyrB2, to controllably halogenate a non-native substrate α-aminobutyric acid (Aba) to yield monochlorinated, dichlorinated, and trichlorinated products. These chemoselective outcomes are achieved by controlling the loading of the 2OG cofactor and SyrB2 biocatalyst. Furthermore, by using a ferredoxin-based biological reductant for electron transfer to the catalytic center of SyrB2, we demonstrate order-of-magnitude enhancement in the yield of trichlorinated products that were previously inaccessible using any single halogenase enzyme. We also apply these strategies to broaden SyrB2's reactivity scope to include multibromination and demonstrate chemoenzymatic conversion of the ethyl side chain in Aba to an ethynyl functional group. We show how steric hindrance induced by the successive addition of halogen atoms on Aba's C4 carbon dictates the degree of multihalogenation by hampering C3-C4 bond rotation within SyrB2's catalytic pocket. Overall, our work showcases the potential of iron halogenases to facilitate multi-C-H functionalization chemistry.",,research_article,true,研究铁卤化酶SyrB2对非天然底物α-氨基丁酸（Aba）的可控多卤化，生成单/二/三氯代Aba衍生物，属于NNAA的酶法修饰与合成。,enzymatic,enzymatic,yes,"α-aminobutyric acid, chloro-α-aminobutyric acid, dichloro-α-aminobutyric acid, trichloro-α-aminobutyric acid",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/jacsau.4c00257,N-to-S Acyl Transfer as an Enabling Strategy in Asymmetric and Chemoenzymatic Synthesis.,pubmed,hybrid,38818054,JACS Au,2024-May-27,"The observation of thioester-mediated acyl transfer processes in nature has inspired the development of novel protein synthesis and functionalization methodologies. The chemoselective transfer of an acyl group from S-to-N is the basis of several powerful ligation strategies. In this work, we sought to apply the reverse process, the transfer of an acyl group from N-to-S, as a method to convert stable chiral amides into more reactive thioesters. To this end, we developed a novel cysteine-derived oxazolidinone that serves as both a chiral imide auxiliary and an acyl transfer agent. This auxiliary combines the desirable features of rigid chiral imides as templates for asymmetric transformations with the synthetic applicability of thioesters. We demonstrate that the auxiliary can be applied in a range of highly selective asymmetric transformations. Subsequent intramolecular N-to-S acyl transfer of the chiral product and in situ trapping of the resulting thioester provides access to diverse carboxylic acid derivatives under mild conditions. The oxazolidinone thioester products can also be isolated and used in Pd-mediated transformations to furnish highly valuable chiral scaffolds, such as noncanonical amino acids, cyclic ketones, tetrahydropyrones, and dihydroquinolinones. Finally, we demonstrate that the oxazolidinone thioesters can also serve as a surrogate for SNAC-thioesters, enabling their seamless use as non-native substrates in biocatalytic transformations.",,research_article,true,通过N-to-S酰基转移策略，结合不对称合成与生物催化，制备非天然氨基酸等手性羧酸衍生物，属于化学-酶法联用合成NNAA。,hybrid,hybrid,yes,noncanonical amino acids,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1101/2024.05.08.593161,Controllable multi-halogenation of a non-native substrate by SyrB2 iron halogenase.,pubmed,hybrid,38766225,bioRxiv : the preprint server for biology,2024-May-09,"Geminal, multi-halogenated functional groups are widespread in natural products and pharmaceuticals, yet no synthetic methodologies exist that enable selective multi-halogenation of unactivated C-H bonds. Biocatalysts are powerful tools for late-stage C-H functionalization, as they operate with high degrees of regio-, chemo-, and stereoselectivity. 2-oxoglutarate (2OG)-dependent non-heme iron halogenases chlorinate and brominate aliphatic C-H bonds offering a solution for achieving these challenging transformations. Here, we describe the ability of a non-heme iron halogenase, SyrB2, to controllably halogenate non-native substrate alpha-aminobutyric acid (Aba) to yield mono-chlorinated, di-chlorinated, and tri-chlorinated products. These chemoselective outcomes are achieved by controlling the loading of 2OG cofactor and SyrB2 biocatalyst. By using a ferredoxin-based biological reductant for electron transfer to the catalytic center of SyrB2, we demonstrate order-of-magnitude enhancement in the yield of tri-chlorinated product that were previously inaccessible using any single halogenase enzyme. We also apply these strategies to broaden SyrB2's reactivity scope to include multi-bromination and demonstrate chemoenzymatic conversion of the ethyl side chain in Aba to an ethylyne functional group. We show how steric hindrance induced by the successive addition of halogen atoms on Aba's C4 carbon dictates the degree of multi-halogenation by hampering C3-C4 bond rotation within SyrB2's catalytic pocket. Overall, our work showcases the synthetic potential of iron halogenases to facilitate multi-C-H functionalization chemistry.",Abu,research_article,true,研究铁卤化酶SyrB2对非天然底物α-氨基丁酸（Aba）的可控多卤化，生成单/二/三氯代产物，并实现化学-酶法联用转化，明确报告了酶促反应条件与产物结构。,hybrid,hybrid,yes,"alpha-aminobutyric acid, chlorinated alpha-aminobutyric acid, brominated alpha-aminobutyric acid",2026-07-23 18:45:34,Journal Article; Preprint,true,yes,研究论文
10.1016/bs.mie.2023.12.017,"Preparation, assay, and application of 4-fluorothreonine transaldolase from Streptomyces sp. MA37 for β-hydroxyl amino acid derivatives.",pubmed,hybrid,38658079,Methods in enzymology,2024,"β-Hydroxy-α-amino acids (βHAAs) are an essential class of building blocks of therapeutically important compounds and complex natural products. They contain two chiral centers at Cα and Cβ positions, resulting in four possible diastereoisomers. Many innovative asymmetric syntheses have been developed to access structurally diverse βHAAs. The main challenge, however, is the control of the relative and absolute stereochemistry of the asymmetric carbons in a sustainable way. In this respect, there has been considerable attention focused on the chemoenzymatic synthesis of βHAAs via a one-step process. Nature has evolved different enzymatic routes to produce these valuable βHAAs. Among these naturally occurring transformations, L-threonine transaldolases present potential biocatalysts to generate βHAAs in situ. 4-Fluorothreonine transaldolase from Streptomyces sp. MA37 (FTaseMA) catalyzes the cross-over transaldolation reaction between L-Thr and fluoroacetaldehyde to give 4-fluorothreonine and acetaldehyde (Ad). It has been demonstrated that FTaseMA displays considerable substrate plasticity toward structurally diverse aldehyde acceptors, leading to the production of various βHAAs. In this chapter, we describe methods for the preparation of FTaseMA, and the chemoenzymatic synthesis of βHAAs from various aldehydes and L-Thr using FTaseMA.",,research_article,true,研究利用4-氟苏氨酸转醛醇酶（FTaseMA）从L-Thr和醛类底物chemoenzymatic合成β-羟基-α-氨基酸衍生物，属于NNAA的酶-化学联用制备。,hybrid,hybrid,yes,"β-hydroxy-α-amino acids, 4-fluorothreonine",2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1021/acs.orglett.4c00901,"Chemoenzymatic Synthesis of 4,5-Dihydroxyisoleucine Fragment of α-Amanitin.",pubmed,hybrid,38598422,Organic letters,2024-Apr-19,"The ability of α-amanitin to potently inhibit RNA polymerase II (RNAP II) has elicited further research into its use as a novel payload for antibody-drug conjugates. Despite this promise, the de novo synthesis of α-amanitin is still a major challenge as it possesses an unusual bicyclic octapeptide structure that contains several oxidized amino acids, most notably 4,5-dihydroxy-l-isoleucine. Here, we report a concise chemoenzymatic synthesis of this key amino acid residue, which features two regioselective and diastereoselective enzymatic C-H oxidations on l-isoleucine.",,research_article,true,"报道了α-鹅膏蕈碱中关键非天然氨基酸4,5-二羟基-L-异亮氨酸的chemoenzymatic合成，包含两步酶促C-H氧化，属于NNAA的酶-化学联用制备。",hybrid,hybrid,yes,"4,5-dihydroxy-L-isoleucine",2026-07-23 18:45:34,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1038/s41596-023-00938-0,Irreversible light-activated SpyLigation mediates split-protein assembly in 4D.,pubmed,hybrid,38253657,Nature protocols,2024-Apr,"The conditional assembly of split-protein pairs to modulate biological activity is commonly achieved by fusing split-protein fragments to dimerizing components that bring inactive pairs into close proximity in response to an exogenous trigger. However, current methods lack full spatial and temporal control over reconstitution, require sustained activation and lack specificity. Here light-activated SpyLigation (LASL), based on the photoregulation of the covalent SpyTag (ST)/SpyCatcher (SC) peptide-protein reaction, assembles nonfunctional split fragment pairs rapidly and irreversibly in solution, in engineered biomaterials and intracellularly. LASL introduces an ortho-nitrobenzyl(oNB)-caged lysine into SC's reactive site to generate a photoactivatable SC (pSC). Split-protein pairs of interest fused to pSC and ST are conditionally assembled via near-ultraviolet or pulsed near-infrared irradiation, as the uncaged SC can react with ST to ligate appended fragments. We describe procedures for the efficient synthesis of the photocaged amino acid that is incorporated within pSC (<5 days) as well as the design and cloning of LASL plasmids (1-4 days) for recombinant protein expression in either Escherichia coli (5-6 days) or mammalian cells (4-6 days), which require some prior expertise in protein engineering. We provide a chemoenzymatic scheme for appending bioorthogonal reactive handles onto E. coli-purified pSC protein (<4 days) that permits LASL component incorporation and patterned protein activation within many common biomaterial platforms. Given that LASL is irreversible, the photolithographic patterning procedures are fast and do not require sustained light exposure. Overall, LASL can be used to interrogate and modulate cell signaling in various settings.",,review,true,综述中描述了光笼赖氨酸的高效合成方法及化学-酶法修饰方案，属于NNAA制备方法学内容。,hybrid,hybrid,yes,oNB-caged lysine,2026-07-23 18:45:34,"Journal Article; Review; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",true,yes,综述
10.1038/s42004-023-01005-1,Structural and functional analysis of hyper-thermostable ancestral L-amino acid oxidase that can convert Trp derivatives to D-forms by chemoenzymatic reaction.,pubmed,hybrid,37737277,Communications chemistry,2023-Sep-22,"Production of D-amino acids (D-AAs) on a large-scale enables to provide precursors of peptide therapeutics. In this study, we designed a novel L-amino acid oxidase, HTAncLAAO2, by ancestral sequence reconstruction, exhibiting high thermostability and long-term stability. The crystal structure of HTAncLAAO2 was determined at 2.2 Å by X-ray crystallography, revealing that the enzyme has an octameric form like a ""ninja-star"" feature. Enzymatic property analysis demonstrated that HTAncLAAO2 exhibits three-order larger kcat/Km values towards four L-AAs (L-Phe, L-Leu, L-Met, and L-Ile) than that of L-Trp. Through screening the variants, we obtained the HTAncLAAO2(W220A) variant, which shows a > 6-fold increase in kcat value toward L-Trp compared to the original enzyme. This variant applies to synthesizing enantio-pure D-Trp derivatives from L- or rac-forms at a preparative scale. Given its excellent properties, HTAncLAAO2 would be a starting point for designing novel oxidases with high activity toward various amines and AAs.",,research_article,true,开发高热稳定L-氨基酸氧化酶用于D-色氨酸衍生物的化学-酶法合成，明确描述了制备工艺和酶学参数。,hybrid,hybrid,yes,D-Trp derivatives,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1039/d1cs00991e,Dissecting the role of protein phosphorylation: a chemical biology toolbox.,pubmed,hybrid,35726784,Chemical Society reviews,2022-Jul-04,"Protein phosphorylation is a crucial regulator of protein and cellular function, yet, despite identifying an enormous number of phosphorylation sites, the role of most is still unclear. Each phosphoform, the particular combination of phosphorylations, of a protein has distinct and diverse biological consequences. Aberrant phosphorylation is implicated in the development of many diseases. To investigate their function, access to defined protein phosphoforms is essential. Materials obtained from cells often are complex mixtures. Recombinant methods can provide access to defined phosphoforms if site-specifically acting kinases are known, but the methods fail to provide homogenous material when several amino acid side chains compete for phosphorylation. Chemical and chemoenzymatic synthesis has provided an invaluable toolbox to enable access to previously unreachable phosphoforms of proteins. In this review, we selected important tools that enable access to homogeneously phosphorylated protein and discuss examples that demonstrate how they can be applied. Firstly, we discuss the synthesis of phosphopeptides and proteins through chemical and enzymatic means and their advantages and limitations. Secondly, we showcase illustrative examples that applied these tools to answer biological questions pertaining to proteins involved in signal transduction, control of transcription, neurodegenerative diseases and aggregation, apoptosis and autophagy, and transmembrane proteins. We discuss the opportunities and challenges in the field.",,review,true,综述磷酸化蛋白的化学与酶法合成工具箱，明确涵盖磷酸丝氨酸等非天然氨基酸的化学及chemoenzymatic合成方法，对数据库有参考价值。,both,multiple,yes,phosphoserine,2026-07-23 18:45:34,Journal Article; Review,true,no,综述
10.1038/s42004-020-00432-8,Ancestral L-amino acid oxidases for deracemization and stereoinversion of amino acids.,pubmed,hybrid,36703379,Communications chemistry,2020-Dec-04,"L-amino acid oxidases (LAAOs) can be applied to convert racemic amino acids to D-isomers, which are potential precursors of pharmaceuticals. However, this application is hampered by the lack of available stable and structure-determined LAAOs. In this study, we attempt to address this limitation by utilizing two ancestral LAAOs: AncLAAO-N4 and AncLAAO-N5. AncLAAO-N4 has the highest thermal and temporal stabilities among the designed LAAOs that can be used for deracemization and stereoinversion. AncLAAO-N5 can provide X-ray crystal structures, which are helpful to reveal substrate recognition and reaction mechanisms of LAAOs at the molecular level. Next, we attempted to improve activity of AncLAAO-N4 toward L-Val through a semi-rational protein engineering method. Three variants with enhanced activity toward L-Val were obtained. Taken together, we believe that the activity and substrate selectivity of AncLAAOs give them the potential to be key enzymes in various chemoenzymatic reactions.",,research_article,true,利用祖先L-氨基酸氧化酶实现外消旋氨基酸的去消旋化和立体翻转，属于D-型非天然氨基酸的化学-酶法制备策略。,hybrid,hybrid,yes,"D-Val, D-amino acids",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.3390/molecules25132989,Artificial Metalloenzymes: From Selective Chemical Transformations to Biochemical Applications.,pubmed,hybrid,32629938,"Molecules (Basel, Switzerland)",2020-Jun-30,"Artificial metalloenzymes (ArMs) comprise a synthetic metal complex in a protein scaffold. ArMs display performances combining those of both homogeneous catalysts and biocatalysts. Specifically, ArMs selectively catalyze non-natural reactions and reactions inspired by nature in water under mild conditions. In the past few years, the construction of ArMs that possess a genetically incorporated unnatural amino acid and the directed evolution of ArMs have become of great interest in the field. Additionally, biochemical applications of ArMs have steadily increased, owing to the fact that compartmentalization within a protein scaffold allows the synthetic metal complex to remain functional in a sea of inactivating biomolecules. In this review, we present updates on: 1) the newly reported ArMs, according to their type of reaction, and 2) the unique biochemical applications of ArMs, including chemoenzymatic cascades and intracellular/in vivo catalysis. We believe that ArMs have great potential as catalysts for organic synthesis and as chemical biology tools for pharmaceutical applications.",,review,true,综述人工金属酶（ArMs）中遗传编码非天然氨基酸的应用及生化应用，虽提及unnatural amino acid，但重点在催化应用而非合成方法；因属综述且涵盖GCE相关技术，保留为unclear。,gce,unclear,unclear,unnatural amino acid,2026-07-23 18:45:34,Journal Article; Review,true,no,综述
